,species,Strength (Mpa),citations,model
16,Ag,832,"\cite{OpenKIM-MO:318213562153:000a},\cite{OpenKIM-MO:318213562153:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_CuAgAu\_\_MO\_318213562153\_000
19,Ag,837,"\cite{OpenKIM-MO:947112899505:005a},\cite{OpenKIM-MO:947112899505:005b},\cite{OpenKIM-MO:947112899505:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_Ag\_\_MO\_947112899505\_005
8,Ag,858,"\cite{OpenKIM-MO:222110751402:000a},\cite{OpenKIM-MO:222110751402:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_PanBorovikovMendelev\_2108\_AgNi\_\_MO\_222110751402\_000
13,Ag,905,"\cite{OpenKIM-MO:270337113239:005a},\cite{OpenKIM-MO:270337113239:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WuTrinkle\_2009\_CuAg\_\_MO\_270337113239\_005
11,Ag,908,"\cite{OpenKIM-MO:128703483589:005a},\cite{OpenKIM-MO:128703483589:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WilliamsMishinHamilton\_2006\_CuAg\_\_MO\_128703483589\_005
14,Ag,908,"\cite{OpenKIM-MO:270337113239:005a},\cite{OpenKIM-MO:270337113239:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WuTrinkle\_2009\_CuAg\_\_MO\_270337113239\_005
4,Ag,912,"\cite{OpenKIM-MO:104806802344:005a},\cite{OpenKIM-MO:104806802344:005b},\cite{OpenKIM-MO:104806802344:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_HaleWongZimmerman\_2008PairHybrid\_PdAgH\_\_MO\_104806802344\_005
10,Ag,912,"\cite{OpenKIM-MO:131620013077:005a},\cite{OpenKIM-MO:131620013077:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WilliamsMishinHamilton\_2006\_Ag\_\_MO\_131620013077\_005
6,Ag,923,"\cite{OpenKIM-MO:108983864770:005a},\cite{OpenKIM-MO:108983864770:005b},\cite{OpenKIM-MO:108983864770:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_HaleWongZimmerman\_2008PairMorse\_PdAgH\_\_MO\_108983864770\_005
2,Ag,1064,"\cite{OpenKIM-MO:681640899874:000a},\cite{OpenKIM-MO:681640899874:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AdamsFoilesWolfer\_1989Universal6\_Ag\_\_MO\_681640899874\_000
