,strength_MPa
strength_MPa,1.0
vacancy_migration_energy_fcc,0.8396532707818566
lattice_constant_bcc,0.6786178429121635
lattice_constant_fcc,0.6641732561427905
relaxed_formation_potential_energy_fcc,0.658414374965354
surface_energy_110_fcc,0.6355532942227349
surface_energy_100_fcc,0.6269694018165616
lattice_constant_sc,0.6247084620225108
unrelaxed_formation_potential_energy_fcc,0.6230626641838998
surface_energy_121_fcc,0.6153558728434959
unstable_twinning_energy_fcc,0.6050107488496606
unstable_stack_energy_fcc,0.5829498725373932
surface_energy_111_fcc,0.579350491058017
cohesive_energy_bcc,0.5738745371379527
relaxation_volume_fcc,0.5461384964209061
lattice_constant_diamond,0.524803768520751
c44_bcc,0.4256171765459879
thermal_expansion_coeff_fcc,0.4214930474125179
c44_sc,0.2471568216290132
cohesive_energy_sc,0.16994699999460966
intr_stack_fault_energy_fcc,0.15972318276300587
c44_diamond,0.1316520996436316
unstable_twinning_energy_slip_fraction_fcc,0.12204157437641794
c11_diamond,0.11945936218215818
bulk_modulus_diamond,0.11945902529093473
c11_bcc,0.11726733343498491
bulk_modulus_bcc,0.11723743469509136
c12_bcc,0.11722247940170792
c12_sc,0.11269634547963311
bulk_modulus_sc,0.11071127086755189
c11_sc,0.10660058077155646
cohesive_energy_fcc,0.09799224938434997
unstable_stack_energy_slip_fraction_fcc,0.09496058726740432
cohesive_energy_diamond,0.08104131650834218
c44_fcc,0.07683266138759796
c11_fcc,0.07061995605349622
bulk_modulus_fcc,0.07041983919619045
c12_fcc,0.07029483554798743
extr_stack_fault_energy_fcc,0.0374645707218498
c12_diamond,0.008738789101424822
disqualified,
thermal_expansion_coeff_bcc,
thermal_expansion_coeff_diamond,
surface_energy_100_bcc,
surface_energy_110_bcc,
surface_energy_111_bcc,
surface_energy_121_bcc,
relaxed_formation_potential_energy_bcc,
relaxed_formation_potential_energy_diamond,
relaxed_formation_potential_energy_hcp,
unrelaxed_formation_potential_energy_bcc,
unrelaxed_formation_potential_energy_diamond,
unrelaxed_formation_potential_energy_hcp,
vacancy_migration_energy_bcc,
vacancy_migration_energy_diamond,
vacancy_migration_energy_hcp,
vacancy_migration_energy_sc,
relaxation_volume_bcc,
relaxation_volume_diamond,
relaxation_volume_hcp,
