,strength_MPa,bcc_fraction,hcp_fraction,lattice_constant_bcc,lattice_constant_diamond,lattice_constant_fcc,lattice_constant_sc,bulk_modulus_bcc,bulk_modulus_fcc,bulk_modulus_sc,c44_bcc,c44_fcc,c44_sc,c12_bcc,c12_fcc,c12_sc,c11_bcc,c11_fcc,c11_sc,cohesive_energy_bcc,cohesive_energy_diamond,cohesive_energy_fcc,cohesive_energy_sc,thermal_expansion_coeff_fcc,surface_energy_100_fcc,surface_energy_110_fcc,surface_energy_111_fcc,surface_energy_121_fcc,ideal_surface_energy_100_fcc,ideal_surface_energy_110_fcc,ideal_surface_energy_111_fcc,ideal_surface_energy_121_fcc,extr_stack_fault_energy_fcc,intr_stack_fault_energy_fcc,unstable_stack_energy_fcc,unstable_stack_energy_slip_fraction_fcc,unstable_twinning_energy_fcc,unstable_twinning_energy_slip_fraction_fcc,relaxed_formation_potential_energy_fcc,unrelaxed_formation_potential_energy_fcc,vacancy_migration_energy_fcc,relaxation_volume_fcc
strength_MPa,1.0,-0.0803,-0.1372,-0.6792,-0.5216,-0.6651,-0.6225,-0.1213,0.0705,-0.1147,0.4176,0.0767,-0.254,-0.1213,0.0704,-0.1167,-0.1213,0.0707,-0.1106,0.5721,0.0805,0.0967,0.1656,-0.3985,0.6277,0.6371,0.5824,0.6174,0.6155,0.613,0.5747,0.5939,-0.0465,0.1339,0.5669,-0.1299,0.5895,-0.1271,0.6748,0.6422,0.8357,-0.5544
bcc_fraction,-0.0803,1.0,0.036,0.1092,0.0482,0.0972,0.085,0.0087,-0.0152,0.0073,-0.0971,-0.0156,0.0335,0.0087,-0.0152,0.0076,0.0086,-0.0152,0.0065,0.0241,-0.0139,-0.0138,-0.0023,0.0342,0.0092,0.016,0.0216,0.0175,0.0116,0.0231,0.023,0.0238,-0.0195,-0.021,-0.0704,0.0084,-0.0671,-0.0213,-0.0403,-0.0106,-0.1118,0.1881
hcp_fraction,-0.1372,0.036,1.0,0.2871,0.2623,0.3096,0.2159,0.226,-0.0012,0.2252,-0.1146,-0.0027,0.0037,0.226,-0.0011,0.2256,0.226,-0.0013,0.2241,-0.2768,-0.0091,-0.0155,-0.0608,0.1013,-0.2701,-0.2899,-0.2801,-0.2887,-0.2692,-0.2721,-0.2821,-0.2824,-0.1357,-0.3963,-0.3326,-0.4919,-0.4117,-0.1622,-0.1533,-0.1879,-0.1956,0.2186
lattice_constant_bcc,-0.6792,0.1092,0.2871,1.0,0.8327,0.9499,0.9511,0.1003,-0.0886,0.0923,-0.411,-0.0943,0.382,0.1003,-0.0886,0.0946,0.1003,-0.0887,0.0875,-0.5086,-0.0966,-0.1113,-0.1677,0.4231,-0.7007,-0.7098,-0.6634,-0.6955,-0.6832,-0.6831,-0.6497,-0.6662,0.055,-0.307,-0.6663,0.0804,-0.6496,0.1728,-0.7364,-0.7108,-0.6587,0.6898
lattice_constant_diamond,-0.5216,0.0482,0.2623,0.8327,1.0,0.9063,0.912,0.1674,-0.4454,0.1295,-0.3744,-0.4499,0.5573,0.1674,-0.4453,0.1398,0.1674,-0.4455,0.1087,-0.6065,-0.453,-0.4655,-0.5324,0.294,-0.7022,-0.7303,-0.6894,-0.7143,-0.6982,-0.721,-0.686,-0.707,0.086,-0.0643,-0.2881,0.0125,-0.3213,0.1298,-0.6892,-0.6917,-0.4473,0.5263
lattice_constant_fcc,-0.6651,0.0972,0.3096,0.9499,0.9063,1.0,0.9682,0.2649,-0.3084,0.2383,-0.3763,-0.3138,0.5,0.2649,-0.3083,0.2458,0.2649,-0.3085,0.2232,-0.5633,-0.3151,-0.329,-0.3871,0.357,-0.6838,-0.696,-0.6458,-0.6803,-0.6652,-0.669,-0.6301,-0.65,0.054,-0.2854,-0.66,0.0809,-0.6395,0.1402,-0.7307,-0.7082,-0.6443,0.743
lattice_constant_sc,-0.6225,0.085,0.2159,0.9511,0.912,0.9682,1.0,0.0819,-0.3031,0.0558,-0.4064,-0.3084,0.5055,0.0819,-0.3031,0.0628,0.0819,-0.3032,0.0416,-0.5165,-0.3076,-0.3221,-0.3704,0.3747,-0.6771,-0.6912,-0.6377,-0.6705,-0.6653,-0.6713,-0.6289,-0.65,0.0779,-0.0023,-0.3371,0.154,-0.3559,0.198,-0.7443,-0.7206,-0.6051,0.6599
bulk_modulus_bcc,-0.1213,0.0087,0.226,0.1003,0.1674,0.2649,0.0819,1.0,-0.0064,0.9965,0.0197,-0.0074,0.1223,1.0,-0.0064,0.9981,1.0,-0.0065,0.9918,-0.32,-0.0114,-0.0148,-0.077,0.0071,-0.1045,-0.1075,-0.093,-0.1045,-0.0984,-0.1024,-0.0825,-0.0963,-0.0169,-0.0517,-0.0855,-0.0549,-0.0936,-0.017,-0.1863,-0.1755,-0.1571,0.4288
bulk_modulus_fcc,0.0705,-0.0152,-0.0012,-0.0886,-0.4454,-0.3084,-0.3031,-0.0064,1.0,0.0776,0.0571,1.0,-0.7027,-0.0064,1.0,0.0554,-0.0065,1.0,0.1216,0.2027,0.9995,0.9989,0.978,-0.1312,0.7638,0.7705,0.7431,0.7606,0.7717,0.7932,0.7472,0.7769,-0.0855,-0.1853,0.0922,-0.1392,0.1186,-0.3312,0.8174,0.8402,0.5702,-0.2656
bulk_modulus_sc,-0.1147,0.0073,0.2252,0.0923,0.1295,0.2383,0.0558,0.9965,0.0776,1.0,0.0239,0.0766,0.0628,0.9965,0.0776,0.9998,0.9965,0.0776,0.999,-0.3023,0.0726,0.0692,0.0055,-0.0041,-0.1045,-0.1076,-0.093,-0.1046,-0.0984,-0.1025,-0.0825,-0.0963,-0.0169,-0.0515,-0.0852,-0.0552,-0.0933,-0.017,-0.1866,-0.1758,-0.1569,0.4291
c44_bcc,0.4176,-0.0971,-0.1146,-0.411,-0.3744,-0.3763,-0.4064,0.0197,0.0571,0.0239,1.0,0.0604,-0.0862,0.0197,0.057,0.0225,0.0197,0.0571,0.0266,0.3195,0.0635,0.0717,0.1099,-0.2839,0.588,0.5903,0.5809,0.5847,0.5941,0.6002,0.5872,0.5968,-0.0626,0.0071,0.1542,0.3259,0.1787,-0.2903,0.4601,0.495,0.3846,-0.2177
c44_fcc,0.0767,-0.0156,-0.0027,-0.0943,-0.4499,-0.3138,-0.3084,-0.0074,1.0,0.0766,0.0604,1.0,-0.7047,-0.0074,1.0,0.0545,-0.0075,1.0,0.1206,0.207,0.9996,0.9991,0.9787,-0.134,0.8001,0.8132,0.7741,0.8017,0.7859,0.7901,0.7637,0.7766,-0.1268,-0.0422,0.3448,-0.2405,0.3822,-0.238,0.852,0.8318,0.7896,-0.5473
c44_sc,-0.254,0.0335,0.0037,0.382,0.5573,0.5,0.5055,0.1223,-0.7027,0.0628,-0.0862,-0.7047,1.0,0.1223,-0.7027,0.0786,0.1223,-0.7027,0.0314,-0.3008,-0.7031,-0.7085,-0.7041,0.3079,-0.3067,-0.3138,-0.2567,-0.291,-0.3011,-0.3049,-0.252,-0.2805,0.1179,-0.0178,-0.1505,0.1234,-0.1537,0.0794,-0.4565,-0.4155,-0.3934,0.33
c12_bcc,-0.1213,0.0087,0.226,0.1003,0.1674,0.2649,0.0819,1.0,-0.0064,0.9965,0.0197,-0.0074,0.1223,1.0,-0.0064,0.9981,1.0,-0.0064,0.9918,-0.32,-0.0114,-0.0147,-0.0769,0.0071,-0.1045,-0.1075,-0.093,-0.1045,-0.0984,-0.1024,-0.0825,-0.0963,-0.0169,-0.0517,-0.0855,-0.0549,-0.0936,-0.017,-0.1863,-0.1755,-0.1571,0.4288
c12_fcc,0.0704,-0.0152,-0.0011,-0.0886,-0.4453,-0.3083,-0.3031,-0.0064,1.0,0.0776,0.057,1.0,-0.7027,-0.0064,1.0,0.0555,-0.0065,1.0,0.1216,0.2026,0.9995,0.9989,0.9779,-0.1312,0.6867,0.69,0.6644,0.6797,0.6984,0.7207,0.6709,0.7031,-0.0702,-0.2248,0.0188,-0.1467,0.0338,-0.3479,0.7679,0.7907,0.4761,-0.2222
c12_sc,-0.1167,0.0076,0.2256,0.0946,0.1398,0.2458,0.0628,0.9981,0.0554,0.9998,0.0225,0.0545,0.0786,0.9981,0.0555,1.0,0.9981,0.0554,0.9978,-0.3074,0.0504,0.0471,-0.0163,-0.0011,-0.1048,-0.1078,-0.0932,-0.1048,-0.0986,-0.1027,-0.0827,-0.0966,-0.0169,-0.0515,-0.0853,-0.0551,-0.0934,-0.0169,-0.1869,-0.1761,-0.1571,0.4293
c11_bcc,-0.1213,0.0086,0.226,0.1003,0.1674,0.2649,0.0819,1.0,-0.0065,0.9965,0.0197,-0.0075,0.1223,1.0,-0.0065,0.9981,1.0,-0.0065,0.9918,-0.32,-0.0115,-0.0148,-0.077,0.0071,-0.1045,-0.1075,-0.093,-0.1045,-0.0984,-0.1024,-0.0826,-0.0963,-0.0169,-0.0517,-0.0855,-0.055,-0.0936,-0.017,-0.1862,-0.1755,-0.1571,0.4288
c11_fcc,0.0707,-0.0152,-0.0013,-0.0887,-0.4455,-0.3085,-0.3032,-0.0065,1.0,0.0776,0.0571,1.0,-0.7027,-0.0064,1.0,0.0554,-0.0065,1.0,0.1216,0.2028,0.9995,0.9989,0.978,-0.1313,0.8136,0.8243,0.7966,0.8157,0.8159,0.8349,0.7971,0.8214,-0.1001,-0.1204,0.1838,-0.1201,0.2238,-0.2871,0.824,0.8453,0.6542,-0.3042
c11_sc,-0.1106,0.0065,0.2241,0.0875,0.1087,0.2232,0.0416,0.9918,0.1216,0.999,0.0266,0.1206,0.0314,0.9918,0.1216,0.9978,0.9918,0.1216,1.0,-0.2917,0.1166,0.1132,0.0489,-0.0101,-0.1041,-0.1072,-0.0926,-0.1041,-0.0979,-0.1021,-0.0821,-0.0959,-0.0169,-0.0516,-0.0851,-0.0554,-0.0931,-0.0172,-0.1861,-0.1754,-0.1565,0.4288
cohesive_energy_bcc,0.5721,0.0241,-0.2768,-0.5086,-0.6065,-0.5633,-0.5165,-0.32,0.2027,-0.3023,0.3195,0.207,-0.3008,-0.32,0.2026,-0.3074,-0.32,0.2028,-0.2917,1.0,0.2301,0.2471,0.398,-0.3559,0.6503,0.6664,0.6433,0.6592,0.6542,0.678,0.6453,0.6676,0.0459,0.3503,0.5352,0.021,0.5446,-0.0849,0.7004,0.7253,0.531,-0.3817
cohesive_energy_diamond,0.0805,-0.0139,-0.0091,-0.0966,-0.453,-0.3151,-0.3076,-0.0114,0.9995,0.0726,0.0635,0.9996,-0.7031,-0.0114,0.9995,0.0504,-0.0115,0.9995,0.1166,0.2301,1.0,0.9998,0.9836,-0.1363,0.482,0.4946,0.5022,0.4962,0.4947,0.5139,0.5126,0.518,0.1021,0.1224,0.2042,0.1032,0.2436,-0.0056,0.4522,0.5007,0.265,-0.1695
cohesive_energy_fcc,0.0967,-0.0138,-0.0155,-0.1113,-0.4655,-0.329,-0.3221,-0.0148,0.9989,0.0692,0.0717,0.9991,-0.7085,-0.0147,0.9989,0.0471,-0.0148,0.9989,0.1132,0.2471,0.9998,1.0,0.9862,-0.1474,0.6625,0.6797,0.6573,0.6724,0.6678,0.6919,0.6616,0.6823,0.049,0.3777,0.5588,0.0326,0.5704,-0.0836,0.6943,0.7239,0.5316,-0.3312
cohesive_energy_sc,0.1656,-0.0023,-0.0608,-0.1677,-0.5324,-0.3871,-0.3704,-0.077,0.978,0.0055,0.1099,0.9787,-0.7041,-0.0769,0.9779,-0.0163,-0.077,0.978,0.0489,0.398,0.9836,0.9862,1.0,-0.1781,0.5622,0.5855,0.5743,0.58,0.5726,0.6007,0.5828,0.5977,0.0632,0.1283,0.2647,0.0768,0.3065,-0.0419,0.5918,0.6312,0.3738,-0.2955
thermal_expansion_coeff_fcc,-0.3985,0.0342,0.1013,0.4231,0.294,0.357,0.3747,0.0071,-0.1312,-0.0041,-0.2839,-0.134,0.3079,0.0071,-0.1312,-0.0011,0.0071,-0.1313,-0.0101,-0.3559,-0.1363,-0.1474,-0.1781,1.0,-0.3806,-0.3822,-0.3407,-0.3661,-0.3949,-0.3887,-0.3549,-0.3751,-0.0384,-0.3188,-0.4591,-0.0249,-0.4504,0.4252,-0.4707,-0.468,-0.5021,0.229
