,factors,r2_cv_score,rmse_cv_score
1653,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c44_fcc']",0.8629569047801254,-199.44239394935738
1757,"['vacancy_migration_energy_fcc', 'c44_fcc', 'unstable_twinning_energy_fcc']",0.8551689737026114,-198.52838807648786
1898,"['vacancy_migration_energy_fcc', 'relaxation_volume_fcc', 'lattice_constant_bcc']",0.8471564293703048,-208.00059487139362
1760,"['vacancy_migration_energy_fcc', 'c44_fcc', 'intr_stack_fault_energy_fcc']",0.8468439564976502,-203.57381377028713
1904,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'lattice_constant_bcc']",0.8467967661289114,-203.18922276419778
1807,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'surface_energy_100_fcc']",0.8464242869951852,-200.61891728261335
1722,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'surface_energy_100_fcc']",0.8452485023821033,-206.0110312325603
1268,"['c44_sc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8449962209789683,-207.4440410222344
911,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8449021719117613,-203.33606982889904
1728,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'ideal_surface_energy_100_fcc']",0.842438048756839,-206.3153035743799
1758,"['vacancy_migration_energy_fcc', 'c44_fcc', 'unstable_stack_energy_fcc']",0.8409356477164859,-203.2657627930359
1908,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'bulk_modulus_sc']",0.8395104630453468,-211.87020737687467
1262,"['c44_sc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8385050187980089,-206.0643774327761
1269,"['c44_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8384606263532463,-217.8239925925176
1851,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'relaxation_volume_fcc']",0.8371871169969597,-212.42948837483064
530,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_fcc']",0.8355612809862155,-210.49930528434598
133,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8355049922291963,-212.87737303425428
1853,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'lattice_constant_bcc']",0.8346880842070642,-203.55689391108
1911,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'unrelaxed_formation_potential_energy_fcc']",0.834657775508566,-214.3926654852311
1813,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'ideal_surface_energy_100_fcc']",0.8346350163752285,-201.02270613385622
1913,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'bulk_modulus_sc']",0.8342362442493312,-216.46390596203622
533,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8336161813167842,-210.81332635281805
127,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8327465074872056,-212.26962225458007
1632,"['vacancy_migration_energy_fcc', 'c11_bcc', 'c44_bcc']",0.8322967471381149,-218.26734239667215
540,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8319275721296185,-209.3480511665247
917,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.831830131633062,-206.3965568659552
1812,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'relaxation_volume_fcc']",0.831688863984679,-215.7017601413815
1818,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'bulk_modulus_sc']",0.8316723191244495,-219.24139575430084
1773,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'lattice_constant_fcc']",0.8316617567649469,-209.60451698590646
1891,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'lattice_constant_bcc']",0.8312086941704274,-215.43042283888818
1874,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'lattice_constant_bcc']",0.8310116079951757,-219.27118552033323
