,factors,cv_score,cv_score_std
2502,"['vacancy_migration_energy_fcc', 'c44_fcc', 'extr_stack_fault_energy_fcc']",-281.45994595825715,144.2310153249681
2501,"['vacancy_migration_energy_fcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-283.9529437269901,135.5364495860193
2503,"['vacancy_migration_energy_fcc', 'c44_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-285.6112781793805,150.1599098282967
2286,"['c44_sc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-286.6598594844699,162.67296628340358
1881,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-286.67448174898834,180.0656087310885
741,"['surface_energy_100_fcc', 'lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-286.72704724944157,174.46447567655753
1878,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-287.7171644179351,162.3258407749359
2287,"['c44_sc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-289.9391815096803,173.34935025496986
759,"['surface_energy_100_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-291.32828805747926,165.82674246736298
681,"['surface_energy_100_fcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",-291.6073672684088,170.07629452769555
825,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-292.5532066367628,166.17641070910932
60,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-293.4818519945924,168.48911948079316
835,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",-294.0151687250538,162.95431987243808
1307,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-294.02673279597354,162.80604722849088
446,"['c11_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-294.6216858297638,145.48857044808466
807,"['surface_energy_100_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",-294.71282420844074,165.23069500594372
2033,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-294.75223068494756,167.25416440074355
2509,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'relaxed_formation_potential_energy_fcc']",-294.9363435776637,179.41752340064454
