,factors,r2_cv_score,rmse_cv_score
3094,"['unstable_twinning_energy_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7896474652684026,-274.67902799782524
2990,"['unstable_twinning_energy_fcc', 'intr_stack_fault_energy_fcc', 'c44_fcc']",0.7774943093203389,-266.2874612723019
3284,"['intr_stack_fault_energy_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7754929147727629,-283.82307968332606
1395,"['unstable_stack_energy_fcc', 'intr_stack_fault_energy_fcc', 'c44_fcc']",0.77382766236566,-277.77360871542146
4116,"['c44_fcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7735785293795295,-283.63078969823727
3441,"['lattice_constant_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7655436316910914,-285.9711694192554
1499,"['unstable_stack_energy_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7642119366094018,-284.0565587644646
424,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7581864655651985,-297.08181047363814
2184,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7569806210550217,-288.27365105268103
3095,"['unstable_twinning_energy_fcc', 'c44_fcc', 'extr_stack_fault_energy_fcc']",0.7556244910338293,-281.57539082024886
2160,"['ideal_surface_energy_100_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",0.7531937483153551,-292.82852488973026
3517,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.753130897902833,-298.9396586603831
3512,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c44_sc']",0.7527789021222407,-291.40209579959514
4029,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.751771669432729,-284.2770946362748
4426,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'lattice_constant_bcc']",0.7505195139424399,-287.5533409259722
2044,"['ideal_surface_energy_100_fcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.7500126880931297,-288.5042245549718
3480,"['lattice_constant_fcc', 'relaxation_volume_fcc', 'vacancy_migration_energy_fcc']",0.749554308754751,-297.74517965471983
350,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7480306065728172,-297.5324474019865
4364,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7476377568621402,-292.9692016210403
4427,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'lattice_constant_diamond']",0.7475788288047126,-296.4329050251616
2181,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c44_sc']",0.7473487918713283,-292.9629873845131
4117,"['c44_fcc', 'vacancy_migration_energy_fcc', 'c44_sc']",0.7461133360691276,-301.1648453024161
2355,"['c11_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",0.7458631767954396,-296.5887368173418
2186,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7453423320661544,-302.3093110206304
155,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7450671917351608,-299.8836795762174
4429,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'lattice_constant_sc']",0.744909957190444,-297.9219131634355
2110,"['ideal_surface_energy_100_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7441368627826002,-298.5763684115076
4420,"['vacancy_migration_energy_fcc', 'c11_sc', 'cohesive_energy_fcc']",0.7439585916989928,-301.89432692617305
2986,"['unstable_twinning_energy_fcc', 'intr_stack_fault_energy_fcc', 'c11_fcc']",0.7439088107095472,-287.13694739036873
4318,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7436567241350399,-292.7054516978386
1148,"['unstable_stack_energy_slip_fraction_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7435887325648041,-293.3879035537065
2183,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7434050248991777,-297.9077969102693
4120,"['c44_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7431871253309319,-297.45224388993347
4421,"['vacancy_migration_energy_fcc', 'c11_sc', 'lattice_constant_bcc']",0.7427732570392759,-300.6111354244092
4432,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'relaxed_formation_potential_energy_fcc']",0.7422997051111484,-300.4562847185487
4005,"['surface_energy_100_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",0.7419400425298767,-290.34874202613025
4031,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7410551392660137,-299.1729719559792
3969,"['surface_energy_100_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7409664629400442,-299.77252220634176
1824,"['unstable_twinning_energy_slip_fraction_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7409549598369121,-302.09055328127147
3514,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7409412881270667,-294.75734154922986
4415,"['vacancy_migration_energy_fcc', 'c44_sc', 'lattice_constant_bcc']",0.7408594277248681,-299.70465205781625
3032,"['unstable_twinning_energy_fcc', 'c11_fcc', 'vacancy_migration_energy_fcc']",0.7408198020540984,-299.4629917092007
2170,"['ideal_surface_energy_100_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7406714916230687,-298.4797823783997
2689,"['unrelaxed_formation_potential_energy_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",0.7406604659029955,-306.07431057952294
4028,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7403970849378577,-298.9723074656342
2713,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7403561447048688,-293.7419261762984
4026,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c44_sc']",0.7400434857579876,-296.48504243160517
2025,"['ideal_surface_energy_100_fcc', 'intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",0.7390548612217535,-304.04113608659856
3033,"['unstable_twinning_energy_fcc', 'c11_fcc', 'extr_stack_fault_energy_fcc']",0.7390022694029835,-288.4006063648027
3501,"['lattice_constant_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7385214992111507,-302.3266867469989
2653,"['unrelaxed_formation_potential_energy_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7382356111920291,-302.67869392828385
4416,"['vacancy_migration_energy_fcc', 'c44_sc', 'lattice_constant_diamond']",0.7381068967952661,-305.2199466572349
4198,"['c12_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7380949117983904,-300.8584876978483
3081,"['unstable_twinning_energy_fcc', 'surface_energy_100_fcc', 'extr_stack_fault_energy_fcc']",0.7379274774545252,-289.788474416985
284,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.7378530365018033,-305.2820307708847
1962,"['ideal_surface_energy_100_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",0.7377469066308997,-298.2430998446326
364,"['c44_fcc', 'vacancy_migration_energy_fcc']",0.7373555816676884,-306.4381982557444
3982,"['surface_energy_100_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",0.7372284795868795,-295.34303811678507
3994,"['surface_energy_100_fcc', 'relaxation_volume_fcc', 'vacancy_migration_energy_fcc']",0.7370979930117656,-296.7623638779167
3491,"['lattice_constant_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",0.7370469102499314,-303.0511889926209
1394,"['unstable_stack_energy_fcc', 'intr_stack_fault_energy_fcc', 'surface_energy_100_fcc']",0.735647771297947,-302.73122535507633
4032,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.7356045946241939,-296.8591503222037
3222,"['intr_stack_fault_energy_fcc', 'c11_fcc', 'vacancy_migration_energy_fcc']",0.7351698653953348,-302.24447791037966
3608,"['c11_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.734563266186882,-303.92003339070936
3468,"['lattice_constant_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",0.7344127066057342,-305.59333898492514
1810,"['unstable_twinning_energy_slip_fraction_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7339752866115739,-300.75574319248886
4428,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.7339595583560498,-307.27775742757905
