,factors,r2_cv_score,rmse_cv_score
3175,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'unrelaxed_formation_potential_energy_fcc']",0.8865758017214366,-179.88142660514077
3122,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'lattice_constant_bcc']",0.8798904769243002,-186.3706192117382
3167,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc', 'lattice_constant_bcc']",0.8754107248841163,-187.77469030732095
3160,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'lattice_constant_bcc']",0.875178584180623,-191.93136427243186
2286,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8702399255970886,-191.39357421095542
3177,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'intr_stack_fault_energy_fcc']",0.8675998559335756,-197.7630662914058
2289,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",0.8666323884573254,-196.80024686683726
2278,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8658601835418588,-191.13274268063805
3017,"['vacancy_migration_energy_fcc', 'c12_fcc', 'lattice_constant_bcc']",0.8650748708255159,-193.4223805937667
3178,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'relaxed_formation_potential_energy_fcc']",0.8649203507339603,-194.46772258678953
2282,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.863954218010188,-194.7825138186277
167,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.8639462016203224,-193.2018616365045
2531,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8632744443921413,-198.97964569075535
2290,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_fcc']",0.8632108912503358,-197.84380106450865
2271,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",0.8626805664535033,-196.9192734630477
2226,"['lattice_constant_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",0.8614096860166068,-195.16508443281248
2537,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8613035126362818,-191.0495440554443
