,factors,cv_score,cv_score_std
2719,"['c44_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-188.15545378943025,250.30562369745508
2714,"['c44_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-189.23042937991758,252.7298781250642
621,"['lattice_constant_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-193.7116021513378,269.4345900126636
2837,"['thermal_expansion_coeff_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-194.14969419198724,274.99705497734016
2756,"['c44_sc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-194.4920200791522,272.8754881983802
628,"['lattice_constant_bcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-194.5599768647551,269.08169227254484
2844,"['thermal_expansion_coeff_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-194.9062156520329,274.87125914906386
2808,"['cohesive_energy_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-195.51222875797623,275.99505471599616
2801,"['cohesive_energy_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-195.61581229335292,276.70889423446306
2763,"['c44_sc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-195.84770469384313,272.83422520272836
2883,"['surface_energy_100_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-196.5038839123813,300.24511125832754
2723,"['c44_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-196.5888713217367,259.4121888213417
1781,"['bulk_modulus_sc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-197.58446128142813,274.6832403420236
1902,"['c11_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-197.78882141686623,261.951112632813
321,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-197.98147813814677,276.5281035657452
897,"['lattice_constant_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-197.9938997248023,271.28518417511174
2872,"['surface_energy_100_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-198.18722978748,277.33692274522116
604,"['lattice_constant_bcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-198.24227182827218,269.3985969693959
1788,"['bulk_modulus_sc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-198.41013209879642,275.65166543588475
904,"['lattice_constant_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-198.65507354308608,270.8611560737022
2473,"['c12_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-199.44165449064482,289.8235472048045
328,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-199.47244701148233,276.2742301906743
2892,"['surface_energy_100_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-199.6168174624404,277.09476066267496
2466,"['c12_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-199.63823326733132,290.76342897145696
2904,"['ideal_surface_energy_100_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-199.83198722896367,303.45670588568044
2890,"['surface_energy_100_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-200.01811029395094,276.7945081721183
880,"['lattice_constant_fcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-200.1840834237763,271.00015468030585
2913,"['ideal_surface_energy_100_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-201.18392904714062,276.7079055853052
2557,"['c12_sc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-201.45854453246184,277.0026532616761
2793,"['cohesive_energy_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-201.48757742559314,273.37073207898135
2911,"['ideal_surface_energy_100_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-201.6475581034032,276.36567181687224
2028,"['c11_fcc', 'c12_fcc', 'vacancy_migration_energy_fcc']",-201.75270745929026,272.2533953790511
